file,odluka,razlog,zadnja_izmjena,schedule,dispatch,push
audit-floating-home-route-owners.yml,REVIEW,testni/audit alat - provjeriti koristi li se jos,2026-06-25,False,True,True
audit-public-portal-v1.yml,REVIEW,testni/audit alat - provjeriti koristi li se jos,2026-06-26,False,True,True
audit-public-routes-v1.yml,REVIEW,testni/audit alat - provjeriti koristi li se jos,2026-06-26,False,False,True
audit-three-public-routes.yml,REVIEW,testni/audit alat - provjeriti koristi li se jos,2026-06-25,False,True,True
audit2.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-08-04,False,False,False
automation-kill-switch-contract.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-08-01,False,True,False
blog-mirror-publish.yml,KEEP,"aktivno koristen danas/redovito, ima cron ili je dio glavnog pipeline-a",2026-08-08,True,True,True
build-world-cookbook-premium.yml,REVIEW,nema jasan obrazac - potrebna rucna procjena,2026-07-27,False,True,False
check-admin-center-v2.yml,REVIEW,provjera specificne funkcionalnosti - potvrditi je li ta funkcionalnost jos u produkciji,2026-07-05,False,False,False
check-admin-executive-portfolio-v1.yml,REVIEW,provjera specificne funkcionalnosti - potvrditi je li ta funkcionalnost jos u produkciji,2026-07-05,False,False,False
check-admin-mail-media-sms.yml,REVIEW,provjera specificne funkcionalnosti - potvrditi je li ta funkcionalnost jos u produkciji,2026-07-05,False,False,False
check-bilingual-publication-routes-v1.yml,REVIEW,provjera specificne funkcionalnosti - potvrditi je li ta funkcionalnost jos u produkciji,2026-07-05,False,True,False
check-company-operations-v1.yml,REVIEW,provjera specificne funkcionalnosti - potvrditi je li ta funkcionalnost jos u produkciji,2026-07-05,False,True,False
check-design-review-console.yml,REVIEW,provjera specificne funkcionalnosti - potvrditi je li ta funkcionalnost jos u produkciji,2026-07-05,False,False,False
check-digital-workforce-public.yml,REVIEW,provjera specificne funkcionalnosti - potvrditi je li ta funkcionalnost jos u produkciji,2026-07-05,False,False,False
check-digital-workforce-root-seo.yml,REVIEW,provjera specificne funkcionalnosti - potvrditi je li ta funkcionalnost jos u produkciji,2026-07-04,False,False,False
check-editorial-draft-planner.yml,REVIEW,provjera specificne funkcionalnosti - potvrditi je li ta funkcionalnost jos u produkciji,2026-07-05,False,False,False
